"CONTRACT_NUMBER","PATH","CONTRACT_ID","STATUS","DOCS_LOADED","DETAIL"
"SOW20210603GP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20210603GP","300000007915473","LOADED","9","9 document(s) uploaded to ContractId 300000007915473."
"SOW20211005SS-IMITPD-NSH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20211005SS-IMITPD-NSH","300000007915480","LOADED","9","9 document(s) uploaded to ContractId 300000007915480."
"SOW20211005SS-IMITPD-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20211005SS-IMITPD-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20220518SS-ITDM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20220518SS-ITDM-RCH","300000007916523","LOADED","9","9 document(s) uploaded to ContractId 300000007916523."
"SOW20221115SS-SPPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221115SS-SPPM-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20221122SS-IMEPM-BH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221122SS-IMEPM-BH","300000007915487","LOADED","15","15 document(s) uploaded to ContractId 300000007915487."
"SOW20221122SS-IMEPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20221122SS-IMEPM-RCH","300000007915494","LOADED","9","9 document(s) uploaded to ContractId 300000007915494."
"SOW202251208AC","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW202251208AC","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20230222SS-CCPM-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230222SS-CCPM-RCH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20230308SS-BA-SPMS-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230308SS-BA-SPMS-RCH","300000007915501","LOADED","7","7 document(s) uploaded to ContractId 300000007915501."
"SOW20230324SS-BA-EIP-RCH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230324SS-BA-EIP-RCH","300000007917213","LOADED","17","17 document(s) uploaded to ContractId 300000007917213."
"SOW20230503LT","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230503LT","300000007915508","LOADED","9","9 document(s) uploaded to ContractId 300000007915508."
"SOW20230922BP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20230922BP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231025MB1-CH-Ontec-05","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231025MB1-CH-Ontec-05","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231025MB1-CH-Ontec-06","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231025MB1-CH-Ontec-06","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231102RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231102RL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231107KN-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231107KN-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231109BW","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231109BW","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231109TB","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231109TB","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231110BP-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231110BP-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231115CL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231115CL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231115DV","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231115DV","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231117JH","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231117JH","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231117SS-POSPF-R","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231117SS-POSPF-R","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231120JJ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231120JJ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231124DV","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231124DV","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231128CA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231128CA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231128RL","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231128RL","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231129CA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231129CA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231130JZ","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231130JZ","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231205BW","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231205BW","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231208SS-STRA-r","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231208SS-STRA-r","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20231219NSHBCCCct","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20231219NSHBCCCct","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240104BP","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240104BP","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240112SL-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240112SL-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240112SL-3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240112SL-3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123PH-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123PH-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240123RL-3","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240123RL-3","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240125MB2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240125MB2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DA","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DA","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DV-1","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DV-1","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
"SOW20240126DV-2","\\phsabc\root\HSSBC\SupplyChainAutomation\ConsultantContract\consultantcr\SOW20240126DV-2","","CONTRACT NOT FOUND","0","Contract number does not exist in Oracle Fusion."
