Contract Number,Contract ID,Supplier Name,Contact Name
CL02282SM-2024,300000007906912,SOUTHMEDIC INC,Adam Sawulski
CL03842SO-FHA,300000007909649,SOUTHMEDIC INC,Adam Sawulski
CL03842SO-PHSA,300000007911295,SOUTHMEDIC INC,Adam Sawulski
CL03842SO-VIHA,300000007910540,SOUTHMEDIC INC,Adam Sawulski
CL04097SO-2025,300000007910790,SOUTHMEDIC INC,Adam Sawulski
CL06735SM-2024,300000007906936,SOUTHMEDIC INC,Adam Sawulski
CL02849MC-2022,300000007879509,MCARTHUR MEDICAL SALES INC,Amy Maher
CL02974MC2-2022,300000007907536,MCARTHUR MEDICAL SALES INC,Amy Maher
CE06156ST,300000007907512,STERIS CANADA SALES ULC,Bruce Nelson
CL01855CA-2025,300000007910676,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02399CHC-2025,300000007909610,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02449CD-2024,300000007907783,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02450BB-2024,300000007906857,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02450BE-2024,300000007906502,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02451BE-2024,300000007906511,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02452BB-2024,300000007907791,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02452BE-2024,300000007907460,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL02453BE-2024,300000007907467,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL03289CA-DER,300000007910597,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL03522CA-2025,300000007911219,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL03672CA-CAR,300000007907805,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL03675CA-CARD,300000007907798,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL03924CA-2023,300000007907161,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04301CA-CHC,300000007902114,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04302CA-CHC,300000007902121,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04302CA-DOM,300000007879363,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04303CA-DOM,300000007879379,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04303CO,300000007881282,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04474CA-CHC,300000007909689,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04475CA-CHC,300000007881274,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04475CA-DOM,300000007879371,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL05331CA-CR,300000007879886,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL06164CA-2024,300000007908554,CARDINAL HEALTH CANADA INC,ChristyAnn Fratpietro
CL04443AR-2024,300000007908791,MCARTHUR MEDICAL SALES INC,Darren Bombardier
CL03669ST-2023,300000007908234,STERIS CANADA SALES ULC,Ian Pequegnat
CL06413-2023M,300000007907421,STERIS CANADA SALES ULC,Ian Pequegnat
CL06413CA-2023,300000007906432,STERIS CANADA SALES ULC,Ian Pequegnat
CL06414ST-2023,300000007909712,STERIS CANADA SALES ULC,Ian Pequegnat
CL02282PI-2024,300000007907837,PRIMED MEDICAL PRODUCTS INC,Jack Krzyanowski
CL04259PR-2024,300000007909285,PRIMED MEDICAL PRODUCTS INC,Jack Krzyanowski
CL02670HE-2025,300000007911194,HEINE USA LTD,Karine Kochen
CL01627CA-2023,300000007906219,MEDLINE CANADA CORP,Shelley Masyoluk
CL01630CA-2023,300000007902934,MEDLINE CANADA CORP,Shelley Masyoluk
CL01635CA-2023,300000007906204,MEDLINE CANADA CORP,Shelley Masyoluk
CL01649CA-2023,300000007907077,MEDLINE CANADA CORP,Shelley Masyoluk
CL01651ME-2024,300000007906800,MEDLINE CANADA CORP,Nick Gajdemski
CL02237ME-2024,300000007907376,MEDLINE CANADA CORP,Nick Gajdemski
CL02282ML-2024,300000007907829,MEDLINE CANADA CORP,Nick Gajdemski
CL02344ML-2025,300000007910359,MEDLINE CANADA CORP,Nick Gajdemski
CL03622CA-2023,300000007907085,MEDLINE CANADA CORP,Shelley Masyoluk
CL03632CA-2023,300000007907092,MEDLINE CANADA CORP,Shelley Masyoluk
CL03635ML2-2025,300000007909778,MEDLINE CANADA CORP,Nick Gajdemski
CL03637ML2-2025,300000007910381,MEDLINE CANADA CORP,Nick Gajdemski
CL03667ML2-2025,300000007911118,MEDLINE CANADA CORP,Nick Gajdemski
CL03694CA-2023,300000007902905,MEDLINE CANADA CORP,Shelley Masyoluk
CL03698CA-2023,300000007902941,MEDLINE CANADA CORP,Shelley Masyoluk
CL03921ME-2023,300000007908058,MEDLINE CANADA CORP,Nick Gajdemski
CL04218ML2-2025,300000007911086,MEDLINE CANADA CORP,Nick Gajdemski
CL04438ME2-2025,300000007909547,MEDLINE CANADA CORP,Nick Gajdemski
CL06216CA-2023,300000007906127,MEDLINE CANADA CORP,Shelley Masyoluk
CL06217CA-2023,300000007902891,MEDLINE CANADA CORP,Shelley Masyoluk
CL06219CA-2023,300000007906165,MEDLINE CANADA CORP,Shelley Masyoluk
CL06735M-2024,300000007906929,MEDLINE CANADA CORP,Nick Gajdemski
