ContractNumber,ContractId,CONVERSION_FOUND,DELETED,NOT_DELETED,DETAIL
05257CA,300000007879767,1,1,0,DELETED
C03075,300000007902421,1,1,0,DELETED
C03626,300000007881853,1,1,0,DELETED
CA04247BD-2024,300000007909126,1,1,0,DELETED
CA04247MA-2024,300000007909017,1,1,0,DELETED
CA04247MC-2024,300000007909034,1,1,0,DELETED
CA04247NI-2024,300000007907935,1,1,0,DELETED
CA04247TH-2024,300000007908776,1,1,0,DELETED
CE03954-ARJ,300000007907320,1,1,0,DELETED
CE03954-HIL,300000007908186,1,1,0,DELETED
CE03954-STR,300000007908193,1,1,0,DELETED
CE03954-UMA,300000007907329,1,1,0,DELETED
CE03960-ARJ,300000007908200,1,1,0,DELETED
CE03960-STR,300000007908207,1,1,0,DELETED
CE03960-UMA,300000007907337,1,1,0,DELETED
CL01144CA-2023,300000007907004,1,1,0,DELETED
CL01651ME-2024,300000007906800,1,1,0,DELETED
CL01855CA-2025,300000007910676,1,1,0,DELETED
CL02394CR-2021,300000007879736,1,1,0,DELETED
CL02394PR-2021,300000007881611,1,1,0,DELETED
CL02399CA-MED,300000007911388,1,1,0,DELETED
CL02399CHC-2025,300000007909610,1,1,0,DELETED
CL02412CA-ME,300000007911426,1,1,0,DELETED
CL02917CA-2023,300000007908114,1,1,0,DELETED
CL02920CA-2023,300000007907233,1,1,0,DELETED
CL02922CA-2023,300000007906304,1,1,0,DELETED
CL02931CA-2023,300000007907113,1,1,0,DELETED
CL02932CA,300000007910824,1,1,0,DELETED
CL03083STE-AMD-24,300000007909908,1,1,0,DELETED
CL03083STE-SOL-24,300000007911545,1,1,0,DELETED
CL03214COL,300000007908740,1,1,0,DELETED
CL03218-AN,300000007910816,1,1,0,DELETED
CL03218-MCA,300000007909901,1,1,0,DELETED
CL03218CA-2022,300000007902737,1,1,0,DELETED
CL03220CA-2023,300000007906098,1,1,0,DELETED
CL03289CA-DER,300000007910597,1,1,0,DELETED
CL03289CA-INO,300000007909704,1,1,0,DELETED
CL03289CA-MED,300000007910611,1,1,0,DELETED
CL03289CA-TRU,300000007910604,1,1,0,DELETED
CL03522CA-2025,300000007911219,1,1,0,DELETED
CL03574CA-2021,300000007902147,1,1,0,DELETED
CL03633-3M-2023,300000007910524,1,1,0,DELETED
CL03672CA-CAR,300000007907805,1,1,0,DELETED
CL03675CA-BA,300000007881901,1,1,0,DELETED
CL03675CA-CARD,300000007907798,1,1,0,DELETED
CL03675CA-NIP,300000007908616,1,1,0,DELETED
CL03908ES,300000007908169,1,1,0,DELETED
CL03910CA-2025,300000007909745,1,1,0,DELETED
CL04081ME,300000007907361,1,1,0,DELETED
CL04241BA-2024,300000007908761,1,1,0,DELETED
CL04241MC-2024,300000007907927,1,1,0,DELETED
CL04241NI-2024,300000007908768,1,1,0,DELETED
CL04289CA-2023,300000007908089,1,1,0,DELETED
CL04300CA,300000007902083,1,1,0,DELETED
CL04300CA-SM,300000007881252,1,1,0,DELETED
CL04301CA,300000007902090,1,1,0,DELETED
CL04301CA-CHC,300000007902114,1,1,0,DELETED
CL04301CA-SM,300000007881259,1,1,0,DELETED
CL04302CA,300000007879341,1,1,0,DELETED
CL04302CA-CHC,300000007902121,1,1,0,DELETED
CL04302CA-DOM,300000007879363,1,1,0,DELETED
CL04302CA-SOL,300000007881267,1,1,0,DELETED
CL04303CA,300000007879349,1,1,0,DELETED
CL04303CA-DOM,300000007879379,1,1,0,DELETED
CL04303CA-SM,300000007881289,1,1,0,DELETED
CL04303CA-SOL,300000007881296,1,1,0,DELETED
CL04303CO,300000007881282,1,1,0,DELETED
CL04306CA,300000007881224,1,1,0,DELETED
CL04474CA,300000007881305,1,1,0,DELETED
CL04474CA-BD,300000007910588,1,1,0,DELETED
CL04474CA-CHC,300000007909689,1,1,0,DELETED
CL04474CA-PHA,300000007911377,1,1,0,DELETED
CL04474CA-SOL,300000007909696,1,1,0,DELETED
CL04475CA,300000007881215,1,1,0,DELETED
CL04475CA-CHC,300000007881274,1,1,0,DELETED
CL04475CA-DOM,300000007879371,1,1,0,DELETED
CL04475CA-SOL,300000007902130,1,1,0,DELETED
CL05264CA-2025,300000007909817,1,1,0,DELETED
CL05331-MED,300000007909894,1,1,0,DELETED
CL05331-MN,300000007911535,1,1,0,DELETED
CL05331SR,300000007910808,1,1,0,DELETED
CL05332CA-MED,300000007909886,1,1,0,DELETED
CL06164CA-2024,300000007908554,1,1,0,DELETED
CL06164ME-2024,300000007906840,1,1,0,DELETED
CL06164PRIMED-2024,300000007908601,1,1,0,DELETED
CL06419ASP,300000007911526,1,1,0,DELETED
PH682RT_PHCL-23,300000007907240,1,1,0,DELETED
