ContractNumber,ContractId,Lead,Buyer,ADMIN_RESULT,BUYER_RESULT
05257CA,300000007879767,ahriane.garcia,empty,CREATED,SKIP
C03075,300000007902421,ahriane.garcia,unknown,CREATED,SKIP
C03626,300000007881853,monica.blaustein,monica.blaustein,CREATED,CREATED
CA04247BD-2024,300000007909126,ahriane.garcia,excluded,CREATED,SKIP
CA04247MA-2024,300000007909017,ahriane.garcia,excluded,CREATED,SKIP
CA04247MC-2024,300000007909034,ahriane.garcia,excluded,CREATED,SKIP
CA04247NI-2024,300000007907935,ahriane.garcia,excluded,CREATED,SKIP
CA04247TH-2024,300000007908776,ahriane.garcia,excluded,CREATED,SKIP
CE03954-ARJ,300000007907320,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03954-HIL,300000007908186,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03954-STR,300000007908193,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03954-UMA,300000007907329,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03960-ARJ,300000007908200,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03960-STR,300000007908207,monica.blaustein,monica.blaustein,CREATED,CREATED
CE03960-UMA,300000007907337,monica.blaustein,monica.blaustein,CREATED,CREATED
CL01144CA-2023,300000007907004,ahriane.garcia,unknown,CREATED,SKIP
CL01651ME-2024,300000007906800,ahriane.garcia,unknown,CREATED,SKIP
CL01855CA-2025,300000007910676,ahriane.garcia,unknown,CREATED,SKIP
CL02394CR-2021,300000007879736,ahriane.garcia,saltanat.konurbaeva,CREATED,CREATED
CL02394PR-2021,300000007881611,ahriane.garcia,saltanat.konurbaeva,CREATED,CREATED
CL02399CA-MED,300000007911388,ahriane.garcia,unknown,CREATED,SKIP
CL02399CHC-2025,300000007909610,ahriane.garcia,unknown,CREATED,SKIP
CL02412CA-ME,300000007911426,ahriane.garcia,unknown,CREATED,SKIP
CL02917CA-2023,300000007908114,ahriane.garcia,empty,CREATED,SKIP
CL02920CA-2023,300000007907233,ahriane.garcia,empty,CREATED,SKIP
CL02922CA-2023,300000007906304,ahriane.garcia,empty,CREATED,SKIP
CL02931CA-2023,300000007907113,ahriane.garcia,unknown,CREATED,SKIP
CL02932CA,300000007910824,ahriane.garcia,empty,CREATED,SKIP
CL03083STE-AMD-24,300000007909908,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL03083STE-SOL-24,300000007911545,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL03214COL,300000007908740,ahriane.garcia,excluded,CREATED,SKIP
CL03218-AN,300000007910816,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL03218-MCA,300000007909901,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL03218CA-2022,300000007902737,ahriane.garcia,unknown,CREATED,SKIP
CL03220CA-2023,300000007906098,ahriane.garcia,empty,CREATED,SKIP
CL03289CA-DER,300000007910597,ahriane.garcia,unknown,CREATED,SKIP
CL03289CA-INO,300000007909704,ahriane.garcia,unknown,CREATED,SKIP
CL03289CA-MED,300000007910611,ahriane.garcia,unknown,CREATED,SKIP
CL03289CA-TRU,300000007910604,ahriane.garcia,unknown,CREATED,SKIP
CL03522CA-2025,300000007911219,ahriane.garcia,excluded,CREATED,SKIP
CL03574CA-2021,300000007902147,ahriane.garcia,saltanat.konurbaeva,CREATED,CREATED
CL03633-3M-2023,300000007910524,ahriane.garcia,unknown,CREATED,SKIP
CL03672CA-CAR,300000007907805,ahriane.garcia,excluded,CREATED,SKIP
CL03675CA-BA,300000007881901,ahriane.garcia,excluded,CREATED,SKIP
CL03675CA-CARD,300000007907798,ahriane.garcia,excluded,CREATED,SKIP
CL03675CA-NIP,300000007908616,ahriane.garcia,excluded,CREATED,SKIP
CL03908ES,300000007908169,ahriane.garcia,empty,CREATED,SKIP
CL03910CA-2025,300000007909745,ahriane.garcia,unknown,CREATED,SKIP
CL04081ME,300000007907361,ahriane.garcia,empty,CREATED,SKIP
CL04241BA-2024,300000007908761,ahriane.garcia,excluded,CREATED,SKIP
CL04241MC-2024,300000007907927,ahriane.garcia,excluded,CREATED,SKIP
CL04241NI-2024,300000007908768,ahriane.garcia,excluded,CREATED,SKIP
CL04289CA-2023,300000007908089,ahriane.garcia,empty,CREATED,SKIP
CL04300CA,300000007902083,ahriane.garcia,empty,CREATED,SKIP
CL04300CA-SM,300000007881252,ahriane.garcia,empty,CREATED,SKIP
CL04301CA,300000007902090,ahriane.garcia,empty,CREATED,SKIP
CL04301CA-CHC,300000007902114,ahriane.garcia,empty,CREATED,SKIP
CL04301CA-SM,300000007881259,ahriane.garcia,empty,CREATED,SKIP
CL04302CA,300000007879341,ahriane.garcia,empty,CREATED,SKIP
CL04302CA-CHC,300000007902121,ahriane.garcia,empty,CREATED,SKIP
CL04302CA-DOM,300000007879363,ahriane.garcia,empty,CREATED,SKIP
CL04302CA-SOL,300000007881267,ahriane.garcia,empty,CREATED,SKIP
CL04303CA,300000007879349,ahriane.garcia,empty,CREATED,SKIP
CL04303CA-DOM,300000007879379,ahriane.garcia,empty,CREATED,SKIP
CL04303CA-SM,300000007881289,ahriane.garcia,empty,CREATED,SKIP
CL04303CA-SOL,300000007881296,ahriane.garcia,empty,CREATED,SKIP
CL04303CO,300000007881282,ahriane.garcia,empty,CREATED,SKIP
CL04306CA,300000007881224,ahriane.garcia,empty,CREATED,SKIP
CL04474CA,300000007881305,ahriane.garcia,saltanat.konurbaeva,CREATED,CREATED
CL04474CA-BD,300000007910588,ahriane.garcia,unknown,CREATED,SKIP
CL04474CA-CHC,300000007909689,ahriane.garcia,unknown,CREATED,SKIP
CL04474CA-PHA,300000007911377,ahriane.garcia,unknown,CREATED,SKIP
CL04474CA-SOL,300000007909696,ahriane.garcia,unknown,CREATED,SKIP
CL04475CA,300000007881215,ahriane.garcia,empty,CREATED,SKIP
CL04475CA-CHC,300000007881274,ahriane.garcia,empty,CREATED,SKIP
CL04475CA-DOM,300000007879371,ahriane.garcia,empty,CREATED,SKIP
CL04475CA-SOL,300000007902130,ahriane.garcia,empty,CREATED,SKIP
CL05264CA-2025,300000007909817,ahriane.garcia,unknown,CREATED,SKIP
CL05331-MED,300000007909894,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL05331-MN,300000007911535,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL05331SR,300000007910808,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL05332CA-MED,300000007909886,ahriane.garcia,ahriane.garcia,CREATED,CREATED
CL06164CA-2024,300000007908554,ahriane.garcia,unknown,CREATED,SKIP
CL06164ME-2024,300000007906840,ahriane.garcia,unknown,CREATED,SKIP
CL06164PRIMED-2024,300000007908601,ahriane.garcia,unknown,CREATED,SKIP
CL06419ASP,300000007911526,ahriane.garcia,unknown,CREATED,SKIP
PH682RT_PHCL-23,300000007907240,ahriane.garcia,empty,CREATED,SKIP
